locus_tag,CH4_1000ppm,CH4_500ppm,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS16680,-0.6894140790128835,-0.6537186460871194,-0.14149657630094215,-0.31925633059552755,-0.15263810663298005,-0.3626158304810865,0.05032651869372699,-0.39888177500735855,-0.11343481757550684,-0.6536959021675379,0.10577418158313101,-0.18142310170223314,0.2572353595903032,-0.6279765790768075,-0.20046958729110265,-0.027535400300179463,-2.794720343753543,-0.16881693645890397,-0.2573980017924953,9.62193288008469e-16,-1.8520811817436862
EQU24_RS16685,0.13318692258267983,0.0465640592842278,-0.3405619361177239,-0.8541981065219252,-0.762256242869829,-1.0290732782873662,-0.35575204741802224,-1.0795871438814215,-0.5917754385547532,-1.4307479752120345,0.06860603746122518,-0.5059848617111664,-0.10225709720357168,-0.6714625146016228,-0.6903512965404343,-0.13891169237446163,-3.062908170335748,-0.31165358894393513,-1.3270395287305599,2.9605947323337506e-16,-2.3857387134238754
EQU24_RS16690,-1.3655356109240198,-1.553670971090003,-0.23740472145879332,-1.3721837902654177,-0.7219484619959027,-0.5418644795911813,-0.4608275125229365,-0.9617090415145895,-0.6587321781457767,-0.7954413751467619,-0.026621663939881746,-0.032751243353548176,-0.35856704561950603,-0.6691692701919074,-0.40883812747289205,-0.3619148661875209,-3.073569365179466,-0.1566124453009358,-0.8912895302661772,-8.141635513917814e-16,-2.040390662808958
EQU24_RS16695,-1.7074522569341153,-1.7476011631638406,-1.265150050176913,-1.0007220266726877,-0.7900476680950275,-0.46167847206362084,-0.19603215097362287,-1.2361742569372725,-0.3087223381218239,-1.1491182990695683,-0.34471733503940705,-0.08406760224262264,-0.15572713733755572,-0.7024258732399608,-0.25961667067945826,-0.3835263788226803,-2.441530245867395,-0.09810602581639596,-0.6566725267950217,2.9605947323337506e-16,-3.4412958644044607
EQU24_RS16700,-0.17685385715845214,-0.2998535075438622,0.6320496060539069,-1.2924528262785067,0.04715807170765518,-0.23465300330162542,0.6263808483007441,-0.42079377632464654,0.4278759610774566,-0.05470590627221217,0.4741265644818262,0.0710308263301119,0.7261643080888314,-0.23217601965881918,-0.1805655722166003,-0.29191242415108626,-2.121330057621658,-0.12727290789768844,-0.09330420822964847,-1.4802973661668753e-16,-1.8980192207228577
EQU24_RS16705,1.2079919301947406,1.0433685741220877,0.2659538674564095,-1.024811825140243,-0.08942022535274696,-0.2974464821841562,0.5982166289379535,-0.4994089740526766,0.4189255423510142,-0.4779119433891439,0.5577454186839153,-0.12109116488729085,0.6834872461025749,-0.26186294730152637,-0.21825070755055087,-0.13723179276056352,-2.1452249852255045,-0.18291685980643596,-0.21466939393401763,-5.921189464667501e-16,-1.3504506528731353
EQU24_RS16710,0.5390632345020041,0.32377517246748644,0.5449072265648547,-2.2162950319814074,0.1914847346905344,-0.19275191490467858,0.8056046576110661,-0.12430698659039763,0.7124995311098431,0.5402855618024542,0.2985888828094829,-0.07065984709987631,-0.05223884914268284,-0.2609530849590612,-0.1855537120544941,-0.2751229084752201,-1.6975826652135824,-0.1141243193738746,0.7167680894453992,-1.0362081563168128e-15,-2.441094100756678
EQU24_RS16715,0.5379726514201053,0.23248127708705324,0.47476250097672823,-1.762659957194209,0.0548091232630501,-0.27272797767578566,0.36471053421178573,-0.3843100708994225,0.3358943830903815,-0.0946642341935644,0.29409658932701754,0.18282097574408684,0.22878384719060496,-0.49389931976130985,-0.12575283260032277,-0.2730016100502151,-2.183257688603811,0.10159357073510998,0.23256091346879693,2.220446049250313e-16,-1.2557800794581624
EQU24_RS16720,0.5985467235693416,0.5231926873502455,-0.20167013335430806,-1.2000505939155393,-0.2721680670468556,-0.6266516486718693,-0.1021838346462296,-0.5247694295299579,-0.23441190924168626,-0.486302125599404,0.30251195728567026,-0.23547388059310367,-0.035154903549530436,-0.6880697917823354,-0.46800778688234035,-0.2172110999524651,-3.478399111426737,-0.10140561908160313,-0.7509366498418917,-1.4802973661668753e-16,-1.5720109540068732
EQU24_RS16725,0.34700399883413935,0.4186244839898965,0.017655439001460937,-0.6072318366261531,-0.04252315292392428,-0.05119709437102049,0.19619914076638204,-0.16467629180379717,0.10360794674731508,-0.42460506746018556,0.7113665991470417,0.0037619727352408818,0.7687717643793235,-0.2529030877656291,-0.038848633064661686,-0.11257521132432835,-2.7225057063329596,-0.054126159676932496,-0.34332674219992443,1.4802973661668753e-16,-2.007006952875467
