model_desc	model_type	lr	sampler	data_aug	epoch_stop	best_val_loss	acc	mcc	mi_p	mi_r	mi_f1	ma_p	ma_r	ma_f1
CNN32_lr0.01_rebalancedSampler_revslide50	CNN32	0.01	rebalanced	revslide50	462	0.5195102233020992	0.8731988472622478	0.04805002613493387	0.8731988472622478	0.8731988472622478	0.8731988472622478	0.39852352352352355	0.36777600283990064	0.36988877422313954
CNN128_lr0.01_rebalancedSampler_revslide50	CNN128	0.01	rebalanced	revslide50	145	0.4826454214472592	0.8818443804034583	0.0591304148111822	0.8818443804034583	0.8818443804034583	0.8818443804034583	0.3621933621933622	0.3515264465743699	0.35037053342138086
Kmer3_lr0.01_rebalancedSampler_revslide50	Kmer3	0.01	rebalanced	revslide50	26	0.6518882537094248	0.7809798270893372	0.052011821423860724	0.7809798270893372	0.7809798270893372	0.7809798270893372	0.3639719211391566	0.3916134185303515	0.3681278384248681
Kmer6_lr0.01_rebalancedSampler_revslide50	Kmer6	0.01	rebalanced	revslide50	10	0.47176972246307464	0.8904899135446686	0.0366639226205033	0.8904899135446686	0.8904899135446686	0.8904899135446686	0.35663082437275984	0.34189740859069934	0.33618756371049946
LinearDeep_lr0.001_rebalancedSampler_revslide50	LinearDeep	0.001	rebalanced	revslide50	262	0.6928543553228681	0.7550432276657061	-0.02686953715535174	0.7550432276657061	0.7550432276657061	0.7550432276657061	0.3150361748977666	0.3046680866169684	0.30753696827568233
CNN32_lr0.001_rebalancedSampler_revslide50	CNN32	0.001	rebalanced	revslide50	4553	0.5789431556844574	0.8414985590778098	-0.05179011511882032	0.8414985590778098	0.8414985590778098	0.8414985590778098	0.29948717948717946	0.3109691160809372	0.3051201671891327
CNN128_lr0.001_rebalancedSampler_revslide50	CNN128	0.001	rebalanced	revslide50	1523	0.5565545431818674	0.8674351585014409	0.03205652500660209	0.8674351585014409	0.8674351585014409	0.867435158501441	0.34872680189900734	0.346201632942847	0.3446115288220552
Kmer3_lr0.001_rebalancedSampler_revslide50	Kmer3	0.001	rebalanced	revslide50	304	0.7159616244629412	0.7694524495677233	0.07448873043275114	0.7694524495677233	0.7694524495677233	0.7694524495677233	0.3758884390463338	0.3935569755058574	0.3758199847444699
Kmer6_lr0.001_rebalancedSampler_revslide50	Kmer6	0.001	rebalanced	revslide50	135	0.44396031967844674	0.8818443804034583	0.014947359696400663	0.8818443804034583	0.8818443804034583	0.8818443804034583	0.3378259916721455	0.33870252041178556	0.3325420099613648
LinearDeep_lr0.01_defaultSampler_mutation0.03	LinearDeep	0.01	default	mutation0.03	1	0.38011496168392195	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN32_lr0.01_defaultSampler_mutation0.03	CNN32	0.01	default	mutation0.03	5	0.37649144708938487	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.01_defaultSampler_mutation0.03	CNN128	0.01	default	mutation0.03	3	0.3746354819546515	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.01_defaultSampler_mutation0.03	Kmer3	0.01	default	mutation0.03	0	0.364176746318251	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.01_defaultSampler_mutation0.03	Kmer6	0.01	default	mutation0.03	7	0.3834630567848854	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.001_defaultSampler_mutation0.03	LinearDeep	0.001	default	mutation0.03	25	0.3765500089964193	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN32_lr0.001_defaultSampler_mutation0.03	CNN32	0.001	default	mutation0.03	388	0.37793039339420087	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.001_defaultSampler_mutation0.03	CNN128	0.001	default	mutation0.03	293	0.3791724520732759	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.001_defaultSampler_mutation0.03	Kmer3	0.001	default	mutation0.03	70	0.37474660579684144	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.001_defaultSampler_mutation0.03	Kmer6	0.001	default	mutation0.03	56	0.3873234854995002	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.01_rebalancedSampler_mutation0.03	LinearDeep	0.01	rebalanced	mutation0.03	9	0.5816392780037366	0.8501440922190202	-0.025888617074540685	0.8501440922190202	0.8501440922190202	0.8501440922190202	0.318212708120965	0.3269879304224352	0.3221230158730159
CNN32_lr0.01_rebalancedSampler_mutation0.03	CNN32	0.01	rebalanced	mutation0.03	41	0.5209501602120633	0.8674351585014409	-0.0481904408401099	0.8674351585014409	0.8674351585014409	0.867435158501441	0.29950248756218906	0.32055378061767836	0.30967078189300407
CNN128_lr0.01_rebalancedSampler_mutation0.03	CNN128	0.01	rebalanced	mutation0.03	26	0.5551128521432794	0.8386167146974063	0.041827658459532215	0.8386167146974063	0.8386167146974063	0.8386167146974063	0.3473413379073757	0.3483759318423855	0.34775718321504856
Kmer3_lr0.01_rebalancedSampler_mutation0.03	Kmer3	0.01	rebalanced	mutation0.03	22	0.5755922883663123	0.8184438040345822	-0.040117986989368894	0.8184438040345822	0.8184438040345822	0.8184438040345822	0.32630098452883266	0.3152733404330848	0.3184655243478773
Kmer6_lr0.01_rebalancedSampler_mutation0.03	Kmer6	0.01	rebalanced	mutation0.03	8	0.44916027672696185	0.8933717579250721	0.09773266970773625	0.8933717579250721	0.8933717579250721	0.8933717579250721	0.6908496732026143	0.37523074192403266	0.39727442882113634
LinearDeep_lr0.001_rebalancedSampler_mutation0.03	LinearDeep	0.001	rebalanced	mutation0.03	84	0.540042509091347	0.8386167146974063	-0.036370940466587946	0.8386167146974063	0.8386167146974063	0.8386167146974063	0.31442912093066894	0.3227280795172169	0.31847598213471884
CNN32_lr0.001_rebalancedSampler_mutation0.03	CNN32	0.001	rebalanced	mutation0.03	851	0.4811530439585705	0.8933717579250721	-0.023849284636288045	0.8933717579250721	0.8933717579250721	0.8933717579250721	0.30038759689922484	0.3301384451544196	0.31456113647894474
CNN128_lr0.001_rebalancedSampler_mutation0.03	CNN128	0.001	rebalanced	mutation0.03	372	0.466878668719135	0.8645533141210374	0.012902135112021155	0.8645533141210374	0.8645533141210374	0.8645533141210374	0.33444108761329305	0.3323127440539581	0.3291316526610644
Kmer3_lr0.001_rebalancedSampler_mutation0.03	Kmer3	0.001	rebalanced	mutation0.03	271	0.6490309423946853	0.8242074927953891	0.08666144077730227	0.8242074927953891	0.8242074927953891	0.8242074927953891	0.36553030303030304	0.38152289669861555	0.37201901694655315
Kmer6_lr0.001_rebalancedSampler_mutation0.03	Kmer6	0.001	rebalanced	mutation0.03	93	0.45247237242607974	0.8789625360230547	-0.04270598876873544	0.8789625360230547	0.8789625360230547	0.8789625360230547	0.2999016715830875	0.3248136315228967	0.3118609406952965
LinearDeep_lr0.01_defaultSampler_mutation0.1	LinearDeep	0.01	default	mutation0.1	2	0.3831397304445591	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN32_lr0.01_defaultSampler_mutation0.1	CNN32	0.01	default	mutation0.1	54	0.3766952396641547	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.01_defaultSampler_mutation0.1	CNN128	0.01	default	mutation0.1	31	0.3758896960305206	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.01_defaultSampler_mutation0.1	Kmer3	0.01	default	mutation0.1	6	0.3770144366221744	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.01_defaultSampler_mutation0.1	Kmer6	0.01	default	mutation0.1	8	0.3850637318765052	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.001_defaultSampler_mutation0.1	LinearDeep	0.001	default	mutation0.1	23	0.3782918200712726	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
